"","DDR1","DDR2","DDR3","DDR4"
"NT_CRISPRa_5_RAD51_CasRx_3",4222.93412898407,3172.85695448816,0,0
"BRCA1_CRISPRa_5_RAD51_CasRx_4",53983.2393645798,0,0,147743.232812676
"BRCA2_CRISPRa_1_RAD51_CasRx_4",34698.3773440858,0,143194.634000022,0
"BRCA2_CRISPRa_2_RAD51_CasRx_4",30521.0913071124,0,0,45542.7392745976
"BRCA2_CRISPRa_4_RAD51_CasRx_4",14432.5669633632,0,28519.8521259682,35861.4429744397
"POLQ_CRISPRa_4_RAD51_CasRx_4",0,0,42.1164441929139,1690.53170126802
"POLD3_CRISPRa_2_RAD51_CasRx_4",24760.69058977,0,3520.55185776221,0
"POLD3_CRISPRa_5_RAD51_CasRx_4",0,0,207563.237669468,36701.1660981843
"RAD50_CRISPRa_4_RAD51_CasRx_4",0,36581.5321182916,74016.4600293345,0
"PALB2_CRISPRa_1_RAD51_CasRx_4",0,17488.4274236071,0,38459.1343099401
"PALB2_CRISPRa_3_RAD51_CasRx_4",40258.7034453815,0,59148.0789733513,149097.50574932
"PALB2_CRISPRa_4_RAD51_CasRx_4",25838.7625500212,0,0,109315.507288443
"XRCC1_CRISPRa_3_RAD51_CasRx_4",0,35307.7663087252,69120.1043279371,0
"XRCC1_CRISPRa_4_RAD51_CasRx_4",25318.1800538999,0,0,61915.0307180802
"DNA-PKcs_CRISPRa_1_RAD51_CasRx_4",41119.2185415821,0,0,103939.985993536
"NT_CRISPRa_5_RAD51_CasRx_4",59660.1137859027,0,0,106056.383877474
"CtIP_CRISPRa_3_RAD51_CasRx_5",0,42950.3611661235,0,2133.94985242029
"BRCA2_CRISPRa_1_RAD51_CasRx_5",0,0,287.157574042594,97237.9053964328
"EXO1_CRISPRa_3_RAD51_CasRx_5",47524.5199630747,104307.672378798,0,0
"PALB2_CRISPRa_1_RAD51_CasRx_5",22362.7089052112,40132.7473982574,0,0
"NBN_CRISPRa_5_RAD51_CasRx_5",0,0,668.11995560577,3191.68690048143
"KU70_CRISPRa_1_RAD51_CasRx_5",44848.7647824512,0,11659.2356340717,0
"XLF_CRISPRa_4_RAD51_CasRx_5",0,25098.1744521053,0,47164.9106775629
"53BP1_CRISPRa_3_RAD51_CasRx_5",23865.2109975613,42685.1453624124,0,0
"LIG3_CRISPRa_3_RAD51_CasRx_5",45923.9230347017,0,24417.9657127553,0
"NT_CRISPRa_2_RAD51_CasRx_5",10550.5366704586,25797.7115490496,0,0
"NT_CRISPRa_5_RAD51_CasRx_5",46883.5042029253,0,1726.77421190947,0
"CtIP_CRISPRa_1_BRCA1_CasRx_1",62930.2653986647,19389.95174104,0,0
"ATM_CRISPRa_1_BRCA1_CasRx_1",16849.9733679266,0,2341.29142036062,0
"POLD3_CRISPRa_2_BRCA1_CasRx_1",22891.0612893343,0,21972.0213098547,0
"EXO1_CRISPRa_2_BRCA1_CasRx_1",0,67175.0266867401,0,27771.8330793555
"DNA-PKcs_CRISPRa_3_BRCA1_CasRx_1",23383.4779414491,0,20375.4251981779,4873.90451141535
"DNA-PKcs_CRISPRa_5_BRCA1_CasRx_1",24970.4775658189,51634.353858277,0,0
"XRCC4_CRISPRa_4_BRCA1_CasRx_1",0,19128.3856960956,0,81890.0946396749
"XLF_CRISPRa_1_BRCA1_CasRx_1",33391.0936877812,0,204687.833161388,0
"NT_CRISPRa_3_BRCA1_CasRx_1",0,55445.9185969317,0,41019.8741328444
"CtIP_CRISPRa_5_BRCA1_CasRx_2",39789.5964572722,19278.0258055289,0,8210.62609883617
"ATM_CRISPRa_3_BRCA1_CasRx_2",41719.4423897219,28312.3953392824,0,0
"PALB2_CRISPRa_4_BRCA1_CasRx_2",17126.7756279911,43326.28631909,0,0
"KU70_CRISPRa_1_BRCA1_CasRx_2",31510.780791343,24048.2605135611,0,77669.3081133943
"XLF_CRISPRa_5_BRCA1_CasRx_2",21639.1380850426,44972.3275228563,0,0
"53BP1_CRISPRa_3_BRCA1_CasRx_2",25994.1603100575,45541.6898904562,0,62559.8346128807
"MRE11_CRISPRa_2_BRCA1_CasRx_3",98129.8005188673,28043.5297768047,0,27862.3642852158
"RAD50_CRISPRa_1_BRCA1_CasRx_3",39792.5101652729,58697.853658031,0,473.903149043987
"PALB2_CRISPRa_1_BRCA1_CasRx_3",16497.4146998444,0,63478.4151899136,0
"XRCC1_CRISPRa_2_BRCA1_CasRx_3",0,35307.7663087252,117.415541386305,0
"LIG4_CRISPRa_5_BRCA1_CasRx_3",104.893488024443,68.1288303110955,0,0
"NT_CRISPRa_4_BRCA1_CasRx_3",19591.7725965655,0,0,12356.5858121099
"NBN_CRISPRa_5_BRCA1_CasRx_4",0,43711.9441621011,29722.7232972355,0
"NT_CRISPRa_1_BRCA1_CasRx_4",0,1347.97757115525,61528.2961981932,6804.62104455752
"CtIP_CRISPRa_3_BRCA1_CasRx_5",24680.0780017512,0,0,2453.58043637588
"RAD51_CRISPRa_2_BRCA1_CasRx_5",5166.97552120407,5136.42717095438,0,0
"NBN_CRISPRa_2_BRCA1_CasRx_5",34139.9166439557,40792.1371487684,213.772860676154,105928.901159017
"NBN_CRISPRa_4_BRCA1_CasRx_5",14865.7382194642,49746.2119896552,0,0
"XRCC4_CRISPRa_1_BRCA1_CasRx_5",38492.0251609698,0,4896.35570139739,0
"XRCC4_CRISPRa_4_BRCA1_CasRx_5",35198.5638842024,0,306.939540254418,0
"LIG4_CRISPRa_2_BRCA1_CasRx_5",66376.2107274677,26921.8372491827,0,0
"53BP1_CRISPRa_1_BRCA1_CasRx_5",0,0,25447.9042116547,92183.8622611119
"53BP1_CRISPRa_3_BRCA1_CasRx_5",0,46558.7560001004,0,42106.2486031675
"ATM_CRISPRa_1_BRCA2_CasRx_1",31942.9808114437,49240.1121073442,0,0
"ATM_CRISPRa_5_BRCA2_CasRx_1",4824.12921312417,0,73423.0010429798,0
"RAD50_CRISPRa_5_BRCA2_CasRx_1",0,0,8097.84358800116,41850.35937844
"XRCC1_CRISPRa_4_BRCA2_CasRx_1",30094.718703013,0,0,26150.585464205
"XRCC4_CRISPRa_4_BRCA2_CasRx_1",42225.4563458398,20841.3391439174,0,0
"LIG3_CRISPRa_4_BRCA2_CasRx_1",27399.5388023849,0,221.430395983956,0
"ATM_CRISPRa_5_BRCA2_CasRx_2",0,32790.6493459814,150905.77205498,0
"POLQ_CRISPRa_2_BRCA2_CasRx_2",56831.8745532436,61814.7476447636,0,0
"EXO1_CRISPRa_5_BRCA2_CasRx_2",39932.3681493055,35277.3516523363,0,0
"NBN_CRISPRa_2_BRCA2_CasRx_2",0,0,32169.9439560207,68500.7140505062
"XRCC1_CRISPRa_4_BRCA2_CasRx_2",30177.2737630322,20911.9011467396,0,0
"XLF_CRISPRa_2_BRCA2_CasRx_2",33421.2020037882,0,0,62898.8647409492
"XLF_CRISPRa_3_BRCA2_CasRx_2",34896.509488132,44847.0191385341,0,0
"LIG3_CRISPRa_2_BRCA2_CasRx_2",43123.8496460492,0,44.6689559621814,0
"NT_CRISPRa_3_BRCA2_CasRx_2",46217.2363067701,80503.9457026037,0,0
"BRCA1_CRISPRa_5_BRCA2_CasRx_3",0,44943.129452723,0,27244.3502370473
"POLD3_CRISPRa_1_BRCA2_CasRx_3",13574.9655751634,5377.31124955432,55392.0579048742,0
"NT_CRISPRa_2_BRCA2_CasRx_3",39081.5654131072,0,16791.060546184,0
"POLD3_CRISPRa_1_BRCA2_CasRx_4",477.848112111354,0,0,138774.176917807
"EXO1_CRISPRa_5_BRCA2_CasRx_4",20460.0575807678,31890.3755168705,0,0
"PALB2_CRISPRa_4_BRCA2_CasRx_4",16325.5059278044,49331.3560765109,3316.98904416312,0
"NBN_CRISPRa_2_BRCA2_CasRx_4",28957.401346748,41670.5124252793,0,0
"XRCC1_CRISPRa_4_BRCA2_CasRx_4",17880.4547641667,51319.2580180882,0,0
"LIG4_CRISPRa_2_BRCA2_CasRx_4",39987.7286013184,82894.5376947698,38.9258044813295,0
"LIG4_CRISPRa_4_BRCA2_CasRx_4",77681.3977701022,13376.3658798303,1035.68165038029,0
"53BP1_CRISPRa_5_BRCA2_CasRx_4",28676.7141426826,44093.9522463454,0,0
"NT_CRISPRa_5_BRCA2_CasRx_4",37231.3608326761,0,0,2339.03074732822
"RAD50_CRISPRa_3_BRCA2_CasRx_5",32093.5223914788,0,10470.4032775353,0
"LIG4_CRISPRa_4_BRCA2_CasRx_5",0,48706.0307411555,37145.4275222654,0
"BRCA1_CRISPRa_3_POLQ_CasRx_1",22397.6734012194,0,0,6259.58623376619
"EXO1_CRISPRa_5_POLQ_CasRx_1",35291.8025402241,0,53097.3498243027,0
"NBN_CRISPRa_4_POLQ_CasRx_1",0,52022.4448737992,0,107071.626686049
